step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,cluster_1873322399_2320051372_3641274152_3641274160_stopped,cluster_1873322399_2320051372_3641274152_3641274160_accumulated_waiting_time,cluster_1873322399_2320051372_3641274152_3641274160_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
5.0,0,0.0,0.0,17.583460615847333,0,0.0,1.0,0,0.0
10.0,0,0.0,0.0,12.670818415594747,0,0.0,1.0,0,0.0
15.0,0,0.0,0.0,13.02354525376333,0,0.0,1.0,0,0.0
20.0,0,0.0,0.0,13.987644020538703,0,0.0,1.0,0,0.0
25.0,1,1.0,0.03571428571428571,10.650749784527084,0,0.0,0.020210434687460404,0,0.0
30.0,3,15.0,0.46875,10.050919132018526,1,4.0,0.16755523057563107,1,4.0
35.0,7,42.0,1.135135135135135,9.614909726800734,3,16.0,6.339944725833109e-05,3,16.0
40.0,8,75.0,1.829268292682927,9.272304254570503,4,32.0,3.489484290615989e-05,4,32.0
45.0,11,120.0,2.608695652173913,9.21116806178544,5,54.0,0.010926423723312331,5,54.0
50.0,13,179.0,3.4423076923076925,8.07487476969156,7,88.0,0.006945008262547508,7,88.0
55.0,8,129.0,2.1864406779661016,8.544595490435652,2,23.0,0.27196548743410637,2,23.0
60.0,10,177.0,2.8548387096774195,8.456164997477432,2,20.0,0.06013259850707825,2,20.0
65.0,11,226.0,3.4242424242424243,8.079761435085258,4,37.0,0.11764061529413392,4,37.0
70.0,16,295.0,4.154929577464789,9.147425855222892,7,65.0,0.025626255269538125,7,65.0
75.0,16,372.0,5.095890410958904,9.97755004384141,7,100.0,0.07340932423748568,7,100.0
80.0,15,262.0,3.4025974025974026,10.365719954016653,9,143.0,0.0981264323253542,9,143.0
85.0,13,220.0,2.682926829268293,9.763884538329807,9,188.0,0.05336839498609469,9,188.0
90.0,12,249.0,3.0365853658536586,9.07592975081155,11,240.0,0.03943182195554255,11,240.0
95.0,8,111.0,1.2613636363636365,8.62495655331593,7,127.0,0.06196355600521601,7,127.0
100.0,9,150.0,1.744186046511628,8.985235375183299,9,150.0,0.008102116702142862,9,150.0
105.0,16,212.0,2.3043478260869565,8.992125254741248,10,197.0,0.08523889928203364,10,197.0
110.0,20,306.0,3.154639175257732,8.231888566039283,10,247.0,0.07555817840316569,10,247.0
115.0,22,410.0,4.141414141414141,7.138074379167914,10,297.0,0.02148547503763096,10,297.0
120.0,25,527.0,5.166666666666667,6.185609209883128,12,352.0,0.03795241532060829,12,352.0
125.0,27,651.0,6.08411214953271,6.190676739769892,14,419.0,0.004410867194704699,14,419.0
130.0,27,722.0,6.5636363636363635,5.722721769533918,14,425.0,0.08945950716483686,14,425.0
135.0,26,527.0,4.663716814159292,5.853161051013376,11,357.0,0.08574031956455162,11,357.0
140.0,22,374.0,3.1965811965811968,6.2957400358556805,14,455.0,0.056755179054552685,14,455.0
145.0,12,94.0,0.7833333333333333,6.279800850305304,9,324.0,0.07752965497068733,9,324.0
150.0,19,141.0,1.128,6.952057659045052,12,321.0,0.07149513452806423,12,321.0
155.0,19,208.0,1.6,7.805635026399309,13,385.0,3.1112473020197865e-06,13,385.0
160.0,24,320.0,2.388059701492537,7.774736450556335,13,450.0,0.034547822645299604,13,450.0
165.0,32,465.0,3.394160583941606,7.465460351440234,13,515.0,0.0,13,515.0
170.0,39,619.0,4.551470588235294,6.041192771284894,13,580.0,0.0,13,580.0
175.0,42,777.0,5.51063829787234,5.914849197262308,13,622.0,0.004847468133505984,13,622.0
180.0,46,996.0,6.916666666666667,5.500884120272005,14,690.0,0.002016385553845121,14,690.0
185.0,36,789.0,5.295302013422819,5.7065880320545945,6,510.0,0.04648922577620879,6,510.0
190.0,42,979.0,6.398692810457517,5.157724277111568,7,471.0,0.041788866636212674,7,471.0
195.0,50,1199.0,7.6369426751592355,5.025349288528867,8,496.0,0.06276790691044347,8,496.0
200.0,48,1397.0,8.786163522012579,4.774509723348365,9,537.0,0.00010543389331526022,9,537.0
205.0,51,1602.0,9.709090909090909,5.040205122951814,9,582.0,2.2747121320243115e-06,9,582.0
210.0,50,1729.0,10.542682926829269,4.816561021994705,9,627.0,0.0,9,627.0
215.0,52,1984.0,11.602339181286549,5.348580555067981,9,672.0,0.09893837124481797,9,672.0
220.0,53,2012.0,11.976190476190476,4.968827769626516,8,588.0,0.0041849574828446146,8,588.0
225.0,51,1822.0,10.654970760233919,4.83514539915551,5,380.0,0.23029670121963453,5,380.0
230.0,55,1763.0,10.017045454545455,4.173145113740084,11,643.0,0.02203686659745553,11,643.0
235.0,45,1225.0,6.805555555555555,4.744853047648837,6,643.0,0.04258011121900018,6,643.0
240.0,42,861.0,4.704918032786885,4.564667779476429,8,636.0,0.03432845811438504,8,636.0
245.0,49,727.0,3.8877005347593583,4.866439238863345,9,680.0,0.08387340548331189,9,680.0
250.0,53,786.0,4.2032085561497325,4.98342012952452,9,720.0,0.04381657580821545,9,720.0
