step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,cluster_1873322399_2320051372_3641274152_3641274160_stopped,cluster_1873322399_2320051372_3641274152_3641274160_accumulated_waiting_time,cluster_1873322399_2320051372_3641274152_3641274160_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
5.0,0,0.0,0.0,17.583460615847333,0,0.0,1.0,0,0.0
10.0,0,0.0,0.0,12.670818415594747,0,0.0,1.0,0,0.0
15.0,0,0.0,0.0,13.02354525376333,0,0.0,1.0,0,0.0
20.0,0,0.0,0.0,13.987644020538703,0,0.0,1.0,0,0.0
25.0,1,1.0,0.03571428571428571,10.650749784527084,0,0.0,0.020210434687460404,0,0.0
30.0,3,15.0,0.46875,10.050919132018526,1,4.0,0.16755523057563107,1,4.0
35.0,7,42.0,1.135135135135135,9.614909726800734,3,16.0,6.339944725833109e-05,3,16.0
40.0,8,75.0,1.829268292682927,9.272304254570503,4,32.0,3.489484290615989e-05,4,32.0
45.0,11,120.0,2.608695652173913,9.21116806178544,5,54.0,0.010926423723312331,5,54.0
50.0,13,179.0,3.4423076923076925,8.07487476969156,7,88.0,0.006945008262547508,7,88.0
55.0,15,247.0,4.186440677966102,7.989834272765753,9,130.0,0.10799983063052357,9,130.0
60.0,17,331.0,5.338709677419355,7.418444199405716,10,179.0,0.004449577819796825,10,179.0
65.0,13,248.0,3.757575757575758,7.107029295262695,5,124.0,0.13560639462773352,5,124.0
70.0,16,287.0,4.042253521126761,8.54971682341672,6,84.0,0.08506492674848783,6,84.0
75.0,18,373.0,5.109589041095891,9.033134378513592,6,89.0,0.07331194628141018,6,89.0
80.0,11,163.0,2.116883116883117,9.815220243885936,4,78.0,0.02601856348598709,4,78.0
85.0,7,69.0,0.8214285714285714,10.155454273084372,4,56.0,0.14735500100218074,4,56.0
90.0,13,85.0,1.0,10.398169786994767,9,85.0,0.04802629551181607,9,85.0
95.0,15,155.0,1.7613636363636365,8.868541074973468,10,135.0,0.001263763158392958,10,135.0
100.0,20,190.0,2.134831460674157,7.998030203725379,10,160.0,0.0029025618997545258,10,160.0
105.0,19,247.0,2.7142857142857144,7.362322480984545,7,156.0,0.1302336991701284,7,156.0
110.0,20,344.0,3.5833333333333335,7.977899209928708,7,168.0,0.1248459491505234,7,168.0
115.0,23,449.0,4.628865979381444,7.171026750977013,9,205.0,0.058031784690294956,9,205.0
120.0,24,564.0,5.584158415841584,6.816988960983652,9,255.0,0.07174513956026897,9,255.0
125.0,26,678.0,6.277777777777778,6.756807171355716,12,302.0,0.0004157357503130044,12,302.0
130.0,18,504.0,4.581818181818182,6.696946925709188,4,166.0,0.11704623612909781,4,166.0
135.0,13,329.0,2.8859649122807016,7.607541429440743,2,93.0,0.16972444742269643,2,93.0
140.0,12,177.0,1.5128205128205128,8.795926574668384,4,116.0,0.15753372518712103,4,116.0
145.0,10,132.0,1.1,7.978701480848894,7,120.0,0.1280872673743301,7,120.0
150.0,13,83.0,0.6747967479674797,7.536731345260592,4,67.0,0.10417288413559303,4,67.0
155.0,7,38.0,0.2992125984251969,7.956339447842032,5,59.0,0.026751194890975653,5,59.0
160.0,12,78.0,0.6,7.7606821448958145,6,80.0,0.08951361198806808,6,80.0
165.0,19,158.0,1.196969696969697,7.433117136536618,9,118.0,5.676115944632382e-05,9,118.0
170.0,28,282.0,2.073529411764706,7.03922585862925,9,163.0,0.096470740671459,9,163.0
175.0,34,436.0,3.0704225352112675,6.794838499840758,10,212.0,0.0,10,212.0
180.0,33,465.0,3.206896551724138,6.715439516800058,8,225.0,0.004236572905502136,8,225.0
185.0,33,524.0,3.6901408450704225,6.0037979650864415,8,260.0,0.028057103929265404,8,260.0
190.0,32,613.0,4.227586206896552,5.705364786542973,9,266.0,0.0793968360245925,9,266.0
195.0,32,719.0,4.891156462585034,4.9215579687453985,10,313.0,0.035755284210611984,10,313.0
200.0,27,567.0,3.7058823529411766,5.236738841547169,7,207.0,0.02606906820632403,7,207.0
205.0,27,479.0,3.0705128205128207,5.341739009482672,5,98.0,0.028757062515938684,5,98.0
210.0,28,426.0,2.6625,6.2374640172128615,5,130.0,0.055257346039794715,5,130.0
215.0,27,334.0,2.0242424242424244,6.466216950903845,6,140.0,0.12450100217678782,6,140.0
220.0,31,397.0,2.363095238095238,6.3154109789871855,5,145.0,0.0,5,145.0
225.0,34,499.0,2.9702380952380953,5.87292781293351,5,173.0,0.2985446341703172,5,173.0
230.0,39,619.0,3.6198830409356724,5.2701258569639915,9,208.0,0.001477536429465225,9,208.0
235.0,48,806.0,4.579545454545454,5.669247902780111,11,263.0,0.0021754428623300876,11,263.0
240.0,49,781.0,4.462857142857143,4.639366568091466,11,268.0,0.004815035278260797,11,268.0
245.0,47,814.0,4.5474860335195535,4.435865705979347,11,317.0,0.04395431898053399,11,317.0
250.0,51,956.0,5.281767955801105,4.348700870913892,13,364.0,0.07119389756452849,13,364.0
